window,feature,ic_cross,icir_cross,ic_pos_ratio,coverage,ic_ts,grade
full,qtld_60d,0.0589543455646717,0.3048109065939938,0.6242544731610338,1.0,0.03606094272457335,high
full,has_comment_lag20,0.058852375613541015,0.2918925241195383,0.6538461538461539,0.0064612326043737576,0.006275170012413114,high
full,min_30d,0.05855885285953445,0.31310174394548046,0.6230119284294234,1.0,0.018989475339951628,high
full,vma_60d,0.057473212124889754,0.3503829318549241,0.6399105367793241,1.0,0.02681365528153491,high
full,qtlu_5d,0.05734851283995038,0.28709064172587295,0.6192842942345924,1.0,0.03461043177626568,high
full,sumn_5d,0.05694029058983872,0.30094876137223686,0.6195328031809145,1.0,0.03479715506940505,high
full,qtlu_60d,0.05440015190377042,0.2619992421736507,0.6125745526838966,1.0,0.040337423536475084,high
full,vma_30d,0.05437068539770814,0.33064271205236656,0.6322067594433399,1.0,0.01941266082269685,high
full,has_comment_lag2,0.0542311136743746,0.3007532425019676,0.7368421052631579,0.004721669980119284,-0.0049572681229669,high
full,trend_level,0.05421985339395591,0.2958420446976728,0.6259940357852882,1.0,0.031205904025204335,high
full,market_state_normal_accel_lag1,0.05385142861113946,0.46577068676325656,0.6153846153846154,0.0032306163021868788,-0.011021485863741846,high
full,min_60d,0.053454006916613624,0.2846674511764626,0.6120775347912525,1.0,0.024105088587858387,high
full,vma_20d,0.05160389018914461,0.3122292229762107,0.6302186878727635,1.0,0.019813082834894514,high
full,low0,0.050139252474475426,0.28373682865546024,0.6292246520874751,1.0,0.004827395624705596,high
full,buy_signal,0.04952022123120908,0.2923296488912675,0.6160536779324056,1.0,0.025880596667587547,high
full,market_state_volatile_accel_lag5,0.048878064816584556,0.3291468406271653,0.5,0.002982107355864811,-0.009139540456753793,high
full,is_zb_lag20,0.04853507994789716,0.4999230639586854,0.5,0.0004970178926441351,0.012098366488019978,high
full,vma_10d,0.047577558749915136,0.28890741140945586,0.6135685884691849,1.0,0.019329363037100644,high
full,mdi,0.04741008288573603,0.2565166392825454,0.6026341948310139,1.0,0.03815767602203526,high
full,vsumn_30d,0.04641983295886392,0.2993004299994581,0.6165506958250497,1.0,0.017272661766554103,high
full,vsumn_20d,0.04626977467920037,0.29109674882233294,0.6163021868787276,1.0,0.016965501881666366,high
full,sumn_10d,0.04609781676408034,0.24318696533782752,0.5976640159045725,1.0,0.025400737888920076,high
full,has_comment,0.045669790836194636,0.27298774061144093,0.7368421052631579,0.004721669980119284,-0.007483095510182042,high
full,market_state_volatile_accel,0.04517649362883091,0.2935483161770112,0.5384615384615384,0.0032306163021868788,-0.0026985541591863513,high
full,vstd_60d,0.04493164842618535,0.28424088112827106,0.6210238568588469,1.0,0.024983120163768562,high
full,market_state_volatile_accel_lag10,0.04488296894012009,0.32154157633397873,0.46153846153846156,0.0032306163021868788,0.004092324655089656,high
full,vsumn_5d,0.044281204738249,0.2761464839879017,0.6120775347912525,1.0,0.021580729480630417,high
full,sumn_20d,0.04418760453438574,0.23380154039461618,0.5976640159045725,1.0,0.022176008303174004,high
full,vsumn_10d,0.04368546984072432,0.27343528144857243,0.6023856858846919,1.0,0.014901027687821792,high
full,vsumn_60d,0.04355136808167808,0.2765761038814971,0.6138170974155069,1.0,0.02389176234688819,high
full,sumn_30d,0.04353684365513773,0.2284636878424871,0.5827534791252486,1.0,0.028429915937848205,high
full,market_state_weak_lag1,0.042243893275969266,0.24387317836861727,0.5675675675675675,0.0275844930417495,-0.009113325543083728,high
full,market_state_weak,0.04090430176411931,0.23465418600768104,0.5675675675675675,0.0275844930417495,-0.00912868660202494,high
full,board_momentum_max_lag2,0.040813890950493203,2.497370428122993,1.0,0.0004970178926441351,-0.005283707405967673,high
full,board_momentum_mean_lag2,0.040813890950493203,2.497370428122993,1.0,0.0004970178926441351,-0.005283707405967673,high
full,cntn_5d,0.04028158188716781,0.2384019885218098,0.5996520874751491,1.0,0.022712507404351396,high
full,has_comment_ma20,0.03976952674489266,0.20299706355975194,0.6304347826086957,0.01143141153081511,-0.005259370789373186,high
full,market_state_weak_lag2,0.03965597450520991,0.22915008838970966,0.5495495495495496,0.0275844930417495,-0.008276896117382988,high
full,vma_5d,0.03910031257679106,0.24355579953244735,0.5956759443339961,1.0,0.012784374134078819,high
full,market_state_normal_ma10_lag10,0.03831606076870934,0.423719010893555,0.6363636363636364,0.0027335984095427437,0.004324883187749162,high
